DATE,Home_Price_Index,Interest_Rate,Unemployment_Rate,Inflation_CPI,Building_Permits,Consumer_Sentiment,Housing_Starts,US_Population,Mortgage_Rate,Median_Income,Interest_Rate_lag1,Unemployment_Rate_lag1,Inflation_CPI_lag1,Mortgage_Rate_lag1,Unemployment_Rate_roll3,Consumer_Sentiment_roll3,Income_to_Mortgage_Ratio,Income_to_Unemployment_Ratio,Permit_to_Population_Ratio,CPI_to_Interest_Rate,HPI_lag1,HPI_lag3,Home_Price_Index_Smoothed,Income_pct_change,Unemployment_pct_change,HPI_pct_change
2010-12-01,142.053,0.18,9.3,220.472,632,74.5,539,311020,4.714,35450.0,0.19,9.8,219.59,4.3,9.500000000000002,71.26666666666667,7520.152736529486,3811.827956989247,0.00203202366407305,1224.8444444444444,142.166,143.015,142.24833333333333,0.0,-0.05102040816326525,-0.0007948454623468715
2011-01-01,141.515,0.17,9.1,221.187,576,74.2,630,311204,4.755,34920.0,0.18,9.3,220.472,4.714,9.4,73.43333333333334,7343.8485804416405,3837.3626373626375,0.00185087595275125,1301.1,142.053,142.526,141.91133333333335,-0.014950634696755949,-0.021505376344086113,-0.0037873188176245076
2011-02-01,140.342,0.16,9.0,221.898,542,77.5,517,311373,4.9525,34920.0,0.17,9.1,221.187,4.755,9.133333333333333,75.39999999999999,7050.984351337709,3880.0,0.001740677579623153,1386.8625,141.515,142.166,141.3033333333333,0.0,-0.01098901098901095,-0.0082888739709569
2011-03-01,139.974,0.14,9.0,223.046,583,67.5,600,311551,4.836,34920.0,0.16,9.0,221.898,4.9525,9.033333333333333,73.06666666666666,7220.843672456575,3880.0,0.0018712827113377907,1593.185714285714,140.342,142.053,140.61033333333333,0.0,0.0,-0.0026221658519902658
2011-04-01,140.006,0.1,9.1,224.093,581,69.8,554,311740,4.84,34920.0,0.14,9.0,223.046,4.836,9.033333333333333,71.60000000000001,7214.876033057852,3837.3626373626375,0.0018637325976775519,2240.93,139.974,141.515,140.10733333333334,0.0,0.011111111111111072,0.00022861388543593542
2011-05-01,139.903,0.09,9.0,224.806,618,74.3,561,311935,4.6375,34920.0,0.1,9.1,224.093,4.84,9.033333333333333,70.53333333333335,7529.919137466307,3880.0,0.0019811819770144423,2497.844444444445,140.006,140.342,139.96099999999998,0.0,-0.01098901098901095,-0.0007356827564533042
2011-06-01,139.859,0.09,9.1,224.806,636,71.5,608,312147,4.51,34920.0,0.09,9.0,224.806,4.6375,9.066666666666668,71.86666666666667,7742.79379157428,3837.3626373626375,0.0020375015617641688,2497.844444444445,139.903,139.974,139.9226666666667,0.0,0.011111111111111072,-0.0003145036203654472
2011-07-01,139.72799999999998,0.07,9.0,225.395,621,63.7,623,312372,4.545,34920.0,0.09,9.1,224.806,4.51,9.033333333333333,69.83333333333333,7683.168316831683,3880.0,0.0019880142906534516,3219.928571428571,139.859,140.006,139.83,0.0,-0.01098901098901095,-0.0009366576337599408
2011-08-01,139.306,0.1,9.0,226.106,647,55.8,585,312605,4.27,34920.0,0.07,9.0,225.395,4.545,9.033333333333333,63.666666666666664,8177.985948477753,3880.0,0.0020697045792613684,2261.06,139.72799999999998,139.903,139.631,0.0,0.0,-0.003020153440970841
2011-09-01,138.664,0.08,9.0,226.597,610,59.5,650,312842,4.106,34920.0,0.1,9.0,226.106,4.27,9.0,59.666666666666664,8504.627374573794,3880.0,0.0019498660665767384,2832.4625,139.306,139.859,139.23266666666666,0.0,0.0,-0.004608559573887838
2011-10-01,137.947,0.07,8.8,226.75,671,60.8,610,313060,4.0675,34920.0,0.08,9.0,226.597,4.106,8.933333333333332,58.699999999999996,8585.125998770744,3968.181818181818,0.0021433591004919187,3239.2857142857138,138.664,139.72799999999998,138.639,0.0,-0.022222222222222143,-0.005170772514855981
2011-11-01,137.14600000000002,0.08,8.6,227.169,706,63.7,711,313260,3.9925,34920.0,0.07,8.8,226.75,4.0675,8.799999999999999,61.333333333333336,8746.399499060739,4060.46511627907,0.0022537189555002233,2839.6125,137.947,139.306,137.91899999999998,0.0,-0.022727272727272818,-0.005806577888609277
